#separator:tab
#html:true
#guid column:1
#tags column:4
c+<k:Ye%i%	-(i)llo; -ilco; -stë	you (dual) (suf)	
wyDFP>}JSQ	panda; tarwa	enclosure (n)	
"fMf#xF6zl/"	pano	piece of shaped wood; plank; *board (n)	
pxrh+*n+N_	panta-	to open; to spread out; to unfold; to unfurl (vb)	
A066Ei6D[^	panta	open; spreading; wide (adj)	
i{lqXxL=VK	panya-	to arrange; to fix; to plan; to set (vb)	
b}ZX^:f&0A	parca	dry (adj)	
G`~B&h(wn%	parmaina	literary; of books (adj)	
nH9K}WfzXP	pasta [þ]; runda	smooth (adj)	
q6oZ@Dsb27	pa	about (prep)	
A/=2vJuWJw	peler	fenced field (n)	
q@yII;k97/	perya-	to divide in middle; to halve (vb)	
j87(5i6I;.	perómanda	semivocalic; *semi-vowel (adj n)	
P>NB;-?C1R	pilin (pilind-)	arrow (n)	
;YUFA3o-w	pirya	juice; syrup; *sap (n)	
m5Y>5;Vu.0	piuta-	to spit (vb)	
uH&_?/q77N	poica	clean; pure; tidy (adj)	
bg*C5p!T7A	poinessë	?cleanliness (n)	
xyCB4dafsg	polda (Body Parts and Functions)	burly; strong (adj)	
pV96r^=O/	poldorë; tuo	physical strength (n)	
mD3&xZ$,B>	poldórëa	muscular; strong; strong-bodied (adj)	
"d|gci5=t~#"	polë (poli-)	meal (n)	
1!mxt;JBo	polë (poli-); porë (pori-)	flour (n)	
Ja?<dsB;hs	punta	stopped consonant (n)	
"j#f~zXW>D("	pusta-	to cease; to put a stop to; to stop (vb)	
xqGN^<]iC~	pusta	pause; stop; *halt (n)	
Oji{9G_k.4	putta	stop (in punctuation) (n)	
e}c9>syqYR	qualmë	(death) agony; (process of) death (n)	
JKXB2O9/ni	quanta-tencelë	full writing (n)	
mluKpzRp6,	quantiën	century; (lit.) full year (n)	
r_BTmH,d2+	quelet (quelett-)	corpse (n)	
AN=R&mYrLQ	quequetta-	to keep on saying; to repeat (vb)	
"L<M#EDJHID"	quesset (*quessec-)	pillow (n)	
D:WU|ff3UX	quetil	language; talk; tongue (n)	
BHj!13;wJ{	quingatelco	*bow-legged (adj)	
dz[kLf!In{	quinga	bow (for shooting) (n)	
fuQbb@i.}A	quolina	ailing; ill (adj)	
vr|XBRskW!	quámë	nausea; sickness (n)	
n7$?%_htg6	quár(e)	fist (n)	
"Cs^5+)C^,#"	quénë	petrel (n)	
sOWSyGWli%	raica	bent; wrong (adj)	
NF!Vw$4Q`>	raiqua	angry (adj)	
fm8`zjUz{m	raccalepta	*claw-fingered (adj)	
i?sNKBL+A?	racca	*claw (n)	
mxSlw]MZ%y	randa	age (100 Valian Years); cycle (n)	
"mm-#AU:mxZ"	rangwë	fathom (n)	
"A1;|Zh##0F"	ranya-	to stray; to *wander (vb)	
Ra?eN|8GrH	rempa	hooked (adj)	
i+[ah,Y<:[	rer-	to sow (vb)	
"A%#)|I6(cd"	rihta- (Physical Acts and Materials)	to give quick twist or move; to jerk; to twitch; to *wrench (vb)	
I?`Z3=yu1C	rillë	brilliance (n)	
o&fIK]X:J;	rilma	glittering light (n)	
urc}v>I}<l	rilya	glittering (adj)	
hm4hVu_A-A	rimba	frequent; numerous (adj)	
Jd~HIo1G+3	rimpa	flying; rushing (adj)	
i&E&v6&Ns=	rinda	circular (adj)	
b~7<KJ^UdX	ringë (ringi-)	*chill (n)	
p<t@I~~9I!	ringwë	cold pool or lake (in mountains) (n)	
K~EuYDvm;%	rinca	jerk; sudden move; twitch (n)	
qQED%9&7lW	rincë (rinci-)	flourish; hook; quick stroke (n)	
t3nD!DjZa&	rista	cut (n)	
P6wZUJck]7	roimë	hunt (n)	
y@SIlL8FdT	roina	ruddy (adj)	
Gnd9|6lW+P	roita-	to pursue; to *chase (vb)	
fsr.ceHxV2	ronyo	hound of chase; ‘chaser’; *hunting dog (n)	
B(8DIV[w%-	runda (n)	rough piece of wood (n)	
rK:Vg?2Hx$	runya (n)	footprint; slot (n)	
bdxs7S~W?O	rámalócë	winged dragon (n)	
kz>uDam:}o	ránen	errant; *roving (adj)	
m(IeyKGOR-	ránë	straying; wandering (n)	
O@_5:Cy|$h	ráva (n)	bank (especially of a river) (n)	
uMV%4C,d:2	réna	border; edge; margin (n)	
s~,j7fW;?$	rí	grass-stem; reed (n)	
F_l2,SwAGc	sa-rincë (sa-rinci-)	hooked stroke in tengwa; s-hook (n)	
uu-clPimB]	sairon	wizard (n)	
c+e@=Ph23	salpa-	to lick up; to sample; to sip; to sup; to take a sup of (vb)	
GZ~3O1>jZi	salquë	grass (n)	
ij,xkz(sI`	samna [þ]	wooden post (n)	
bInjECnrYr	samno [þ]	builder; carpenter; wright (n)	
ieSTz1ic<-	sampo	vault; *cellar (n)	
NsaCV1p6Sr	sanda [þ]	abiding; firm (adj)	
wcquK^v_N`	sanga [þ] (n adj)	crowd; crowded; pack; packed; press; throng (n adj)	
L9T&:{js2K	sanga- [þ]	to compress; to pack tight; to press (vb)	
r>6C[rfUaL	sanguma [þ]	press; *thing that presses (n)	
IO+L-jT86_	sanca [þ]	cleft; split (adj)	
d1-?j}|(p;	tanë	that (pron)	
IpA4U^t:D@	sanya [þ]	law-abiding; normal; regular (adj)	
N|y/rQSB!n	sanyë [þ]	law; rule (n)	
J*zW~7}h0Y	sapsarra-	to fray away; to keep on rubbing (vb)	
"sGJ#:ujL{%"	sapta	(delved) hole; grave; pit (n)	
v0udS]RM5t	sara [þ]	bent [as a type of grass]; stiff dry grass (n)	
"mbO(e`I!#T"	sarna	of stone (adj)	
fs}!t.%sG	sarnë	stony place (n)	
lcV`L,ZV^8	sauricumba [þ]	*foul-bellied (adj)	
"j]uJUG#hA="	seldo	child [m.]; *boy (n)	
HqIwFi5%iH	senda	at peace; resting (adj)	
ji$}bN{?;X	ser-	to at the moment; to be for a while; to repose; to rest; to stay; to stop; to tarry (vb)	
BOk_Av-ZC_	seru-	to come to rest on; to settle on; to sit or lie down (vb)	
e;h$~h3S<y	sicil	dagger (n)	
rmplqU}i+@	silma (adj)	shining white; silver (adj)	
EQe]4b8gqi	sinan	at present (adv)	
i3$pQ1lHE4	sinar	nowadays; this morning; today (n adv)	
wk<{.8O>WS	sinta- [þ]	to *(lit.) become grey (vb)	
J+;~lRLzm%	sinya	new; *current (adj)	
t|$xr3W)Qd	sinyë [þ]	evening (n)	
Q8{7+_Je!-	sir-	to flow (vb)	
HgsgQ(BNAn	siulë	incitement (n)	
O4N/)DdxL}	solor	surf; surge (n)	
cr$7v`*ha?	sorasta	equipment (n)	
zJwz+D2%Y$	suhto	draught; *a single act of drinking (n)	
oC-A=2gzR5	suc-	to drink [rapidly]; to quaff; to *gulp (vb)	
p}muQe.mAV	sulca	root (especially as edible) (n)	
mBVX=sN(KR	sulpa-	to drink greedily; to lap up (vb)	
nhv+S>v[u:	surya	spirant consonant (n)	
jTQ[=.`OQ}	sáro [þ]	saviour (n)	
E1J85`;>.,	sáva	juice (n)	
p~lQ;gL]9q	súlo (*súlu-)	goblet (n)	
uR7n82MtuS	súya- [þ]	to breathe (vb)	
E[M*u)hO23	tailë	extension; lengthening (n)	
LLu)-Lwwa>	taita-	to prolong; to *lengthen (vb)	
C`VW]jG$>f	taxë	nail (n)	
o]Oua5x368	talat	sheet (n)	
j&a*`_et>j	tallunë	sole of foot (n)	
kr_s:lzKgC	talma (Spatial Relations)	base; foundation; root (n)	
CI@Y?mNK`N	talta (adj, Motion and Transportation)	leaning; shaky; slanting; sloping; tilted; tottering; unsteady; wobbling (adj)	
E1~a--!<,/	talta (adj, Spatial Relations)	leaning; sloping; tilted (adj)	
JEAUaH{J7F	talta (n)	incline (n)	
M?Ty_Y,T&9	taltë	at the bottom (adv)	
uv|0YQVoN`	tal	downwards (adv)	
QzHP@9B(CN	tam-; ton-	to tap (vb)	
"Qm?cKz5#V+"	tamba-	to keep on knocking; to knock (vb)	
"np7D{#wx(P"	tambaro	woodpecker; (lit.) knocker (n)	
szi:d=z]?J	tambë (tambi-) (Food and Drink)	pot (n)	
CnbR$KP/(k	tampa	stopper (n)	
k8yL=XAmtY	sanë	that (anaphoric) (pron)	
PZc~F0JW<;	tangwa	clasp; hasp; *fastener (n)	
HDX{oezfK,	tancal(a)	brooch (n)	
K/9S-E{5m>	tanca (adj)	firm; fixed; sure (adj)	
lABdr:t].c	tap-	to block; to stop (vb)	
zv`UL{;MQ!	tar (adv)	beyond (adv)	
dRc%O}zSu6	tarca	horn [of animals] (n)	
O-E`9SAo^P	tarya	stiff; tough (adj)	
L;B=c(NX.w	tasar(e) [þ]	willow-tree (n)	
yX4EHb]y&{	tatya-	to double; to repeat (vb)	
HP&O].0.Bm	tavaril	dryad; spirit of woods (f.) (n)	
E-_pLBP%}{	tavaron	dryad; spirit of woods (m.) (n)	
E8GO]JX8MB	tëa	straight line (n)	
sV];%Mg7c$	tec-	to write (vb)	
uT%Xb=fsO!	tecco	accent [´]; stroke (of pen or brush) (n)	
LSQ9ef`fs7	telemna; telpina	*of silver (adj)	
pz}5J`c:8Q	tella	hindmost; last (adj)	
mTF+M4RcfQ	tellë	rear (n)	
C7<9NY6A|&	telmë	covering; hood (n)	
B:/qmiPnIq	telpë	money; silver (n)	
zai$S%;)fc	telta-	to canopy; to overshadow; to screen (vb)	
x6@oh*k};D	telumet (telumett-)	canopy (n)	
P6K0t!UmvS	tencelë	writing (system) (n)	
xX[Bpxk,,o	tenna (n, Language and Music)	a letter (n)	
nR=&{jJuj!	ten	for (conj)	
Q8l3NTcL68	teren	lissom; lithe (adj)	
MBjGD.k*Y4	tereva	acute (pain); fine; piercing; sharp; shrill [of sound]; *keen (adj)	
AoS`me^Y^P	terhat-	to break apart (vb)	
F/PnwC2YYr	terra	fine pierced hole (n)	
PeD*9Tx7W;	vendë	maid; maiden (n)	
bs%L5A3~bY	të	her; him; it (pron)	
HK-cQ~[=5F	tixë	dot; point; tiny mark (n)	
tFR$HoScP{	tinda	glinting (silver) (adj)	
RfK.Q_2<)G	tindë	glint (n)	
qN(&Mt-t)^	tiqu-	to melt; to thaw (vb)	
NGHXHKwP.!	titta	tiny (adj)	
n%WhI+opk+	tiuca	fat; thick (adj)	
vwf2B,!pUH	tiura	compact (adj)	
MhBK.R7~9!	tiuya-	to grow fat; to swell (vb)	
"d6h(:[n[#&"	töa (adj)	of wool; woollen (adj)	
sw?1M%uw.:	tolu-	to get up; to leave one’s seat; to stand up (vb)	
wgsbY??W-f	ton-	to knock (vb)	
o7ZX%rj*EH	tuia-	to spring; to sprout (vb)	
LOQf:V8DWh	tuilë	spring; spring-time (n)	
j9K[W{*e5z	tuilindo	swallow; (lit.) spring-singer (n)	
dG:-OE-YTP	tuilu-	to bud; to open (of flowers and leaves) (vb)	
vX/mqmVPr,	tuima	bud; sprout (n)	
lJSm8q7B9>	tuc-	to draw; to *pull (toward) (vb)	
"n!+R:J-#@a"	tul-	to come (vb)	
b_a,r(CCQG	tulca	firm; immovable; strong (adj)	
s{CQlbr,e~	tulco (*tulcu-)	prop; support (n)	
o[wNs^()Ru	tulma	event (n)	
BI2[`tF+_?	tulumaitë	likely to come; probable (of future events) (adj)	
K6f~`wv3H	tulurya	coming (adj)	
f$IM`X:Yoz	tumna	low (adj)	
iK9wI:Sboo	tumpo (Physical World)	hump; lump (n)	
L)Jz|tC>I<	tundo (tundu-)	hill; mound [isolated] (n)	
vU[-fjf_o>	tunga	resonant (of strings); taut; tight (adj)	
BjQunz]UlV	tuo	muscle; sinew; vigour (n)	
yn{5CKFK0}	tupsë	thatch (n)	
"r4Mt#Q%dbL"	tur- (Social Relations)	to control; to govern; to wield (vb)	
fx4rG3*NeI	turo	master (n)	
s](~jFqxW5	turut (turuc-)	tree-stem; *tree-trunk (n)	
Dr<Xb3BwaR	turyandë	fortification (n)	
LMBh5RL+rS	turyanwa	fortified; *strengthened (adj)	
"b-.}}#O0;w"	tussa	bush (n)	
eFYsiO&3?0	tyalangan (*tyalangand-)	harp-player (n)	
MZ&3Q8}Ve4	tyaro	actor; agent; doer (n)	
G^)T.?4o~0	tyatyamba-	*to keep on tasting (vb)	
CY,Xy1dEA:	tyaz-	to like (vb)	
"HaUEZ~3,#A"	tyulussë	poplar-tree (n)	
d*GMo98{Rc	tárë	*that day (adv)	
"Az={#Ux5zV"	téra	right; straight; *correct (adj)	
eRaiZ0qSzI	tópa-	to roof (vb)	
"M#<o&^Q&vn"	tópa	roof (n)	
d-h4-kK[M+	tó	wool (n)	
z[?KloJ4$u	ufárëa	not enough (adj)	
C,M}Y^^PX2	uilë	long trailing plant (n)	
hk<:R$|.`M	ululla-	to keep on pouring (vb)	
OYsqtxm(wT	ulundë	flood; *downpour (n)	
"b!}FL?~#7C"	ulundo	deformed and hideous creature; monster (n)	
h|!R:.S6YQ	ulya-	to pour (vb)	
jB[8;|{CvZ	uman	at one time (adv)	
t09_<wWrFG	umpano	build[ing] (n)	
uy.`*j=daz	un-/um-	intensive prefix with evil sense (pref)	
LL;^=r7xNh	ungwalë	torture (n)	
qk&O:!9ZK}	unca-	to hollow out (vb)	
"IgYw#LR,8l"	unquë	cavity; hole; hollow (n)	
G%n!6*(nYH	unutixë	dot or point placed below the line of writing (n)	
r8FRZ%E=o2	vahta-	to soil; to stain (vb)	
Ii>2@S,sD6	vai(y)a	envelope (n)	
f[8<[=!>+6	vaita-	to enfold; to wrap (vb)	
Q:Yd`k%+=v	vaxë	stain (n)	
rfo9?cSW6s	valaina	of or belonging to the Valar (adj)	
C4p<N=kTjW	valassë	divinity (n)	
f;bI{%]+14	valya	having (divine) authority or power; official; *authorized (adj)	
t6.bwDd=v=	vanta	march; walk; *hike (n)	
jD;!ehxH*V	vanta-	to trek; to walk; to *trudge (vb)	
ezbcO[)~v|	vanwië	past time; the past (n)	
"I)H#cBq.)u"	vanya-	to depart; to go; to pass [away]; to *be lost (vb)	
nFC[AoD>/L	varnassë	security (n)	
vt1|=+B9m5	varna	protected; safe; secure (adj)	
F(m&^xeHsE	varya-	to protect (vb)	
ikLs{Al]*H	vëa (Time)	adult; vigorous (adj)	
j^&|_8)xl3	vëaner	(adult) man (n)	
q&{g[6p|.r	vië; vëassë	vigour (n)	
j~.F&$v)+y	venessë	virginity (n)	
gLpqBpk00-	verië	boldness; *daring (n)	
s*%jY`(GY}	verca	wild (adj)	
n;45Bz4Rgh	verya-	to dare (vb)	
l+)`la^-I|	verya	bold; *brave (adj)	
ohJW6rUBP8	vesta- (Mankind)	to wed; to *marry (vb)	
K?vvC70hhz	vesta	matrimony; state of marriage (n)	
i&~kc~2.xc	vië	manhood; teors; *penis (n)	
pC<F]0FfP1	virya	fresh (adj)	
gpT^<X},xq	vista	air as substance (n)	
L5Zf`K(@C2	vor(o)-	continual repetition (pref)	
uB/fEU~cuG	vorongandelë	continual repetition; (lit.) harping on one tune (n)	
qqesUFoUb3	voronwa	enduring; long-lasting (adj)	
KJ01_@hrrJ	voronwië	lasting quality (n)	
tR-Bk=~w;e	vorosanya [þ]	*ever-law-abiding (adj)	
m;h7}y?Q5x	voro	continually (adv)	
YZ~i)F&Wx	ván	goose (n)	
i.-9j/]5a-	vára	dirty; soiled (adj)	
EU@y*uC<Q-	vérë	compact; oath; troth (n)	
rYu/tgc:aq	vórëa	continuant; continuous; enduring; lasting (adj n)	
o!M:;0?dn{	vórë	lasting (n)	
dqfm0F]bR_	vórima (Time)	continuous; enduring; repeated (adj)	
Mr?N|=9QJ!	vén	freshness; greenness (n)	
"AlW?CK#&,}"	yaiwë	mocking; scorn (n)	
LLa^&[RXw.	yallumë	at last; at that (far distant) time; in times when (adv)	
u/3%F97B~}	yalúmë	former times (n)	
j_[tV++N?7	yana	that (the former); yonder (pron)	
CBbriz1f0t	yassë	there [remote, relative] (adv)	
n}QVl,^+g9	yatta	(narrow) neck; isthmus; *(lit.) joining (n)	
G.wvM_R}.$	yello	call; cry of triumph (n)	
s,k.xnU0Co	yelmë	loathing (n)	
trbfH[$7o(	yelta-	to abhor; to loathe (vb)	
QDsa5PVtXo	yelwa	loathsome (adj)	
y9AB@_kjZp	yenya	last year (n)	
"pdn#E_$u,h"	yerna	worn (adj)	
Jf=tR,{za(	yerya-	to get old; to wear (out) (vb)	
m{%[(Ld[=M	yesta- (Emotion)	to desire (vb)	
imKI8e?~u|	yurasta	twenty four (cardinal)	
u$sG*,s!3.	yárë	former days (n)	
"D7(#KzE!;P"	yáwë	cleft; gully; ravine (n)	
K^?bENeziL	yú	too; *also (adv)	
CRT:?.^O<`	yú-	both (pref)	
GC7Z$*]5oz	yúla	ember; smouldering wood (n)	
HcrrDK~?0x	á (interj)	Oh! (interj)	
"y(kTD61C#%"	élë	beam; star-ray; flashing of [?starry] light (n)	
P4p+hmV<{<	érë	existence; existing (n)	
AVwpo`e2,r	tulurya; évëa	future (adj)	
PIU*^.qFuC	é	indeed (interj)	
"uF/!&#ryu"	íquallumë	when; whenever (adv)	
n-HpfhH]31	írë	desire; longing (n)	
hq`F$$gKCz	nwë [ñ]	*we (inclusive) (pron)	
K$0$n;.Vw4	ómaitë	voiced [stop] (n)	
kuPTH{Xo@3	ómanda	vocalic (adj)	
i.-Oa^.u&t	ómëa (adj)	voiced (adj)	
Bj+7+d;`)+	órë (Motion and Transportation)	rising; *rise (n)	
L=M$c`e}=2	o	from (prep)	
Fy&{ke*mib	úlëa	flooding; flowing; pouring (adj)	
Ba0@awJmGf	úmahta(le)	nuisance (n)	
rq+|mk7mDG	úr	fire (n)	
FX}unbgtUs	eressë	isolation; separation; solitude (n)	
mt{!:U.k_;	niëninquë	snowdrop; (lit.) white tear (n)	
HIIRPl[B+t	vingil (vingild-); vingil (wingild-)	foam-maid; mermaid; nymph (n)	
i4!*.9W/o]	alcar	brilliance; glory; radiance; splendour (n)	
FYefulXfKQ	calma	(device for shining) light (n)	
NPy3UdK4?z	capta-	to make spring; to scatter; to startle (vb)	
fVA9^yR*S.	carca	fang; tooth; tusk (n)	
vKkjEMLv7%	iquista	request (n)	
u>eu&]nzaL	rauco	demon; powerful hostile and terrible creature (n)	
zpU]UasIrV	man	what; who (pron)	
x[eY]muQZS	Rana; Rána	Moon; (lit.) Wayward (n)	
xiHit(@Hzz	am(il)yë; ammë; amya; emya	mummy (n)	
dPIQ2vS%4e	ar; yo	and (conj)	
o+ydR0R;!8	ar(a)	beside; next [to]; *by (prep)	
"GeU*LjBxX#"	cap-	to jump; to leap (vb)	
i?sv$|V$*o	car-	to do; to make (vb)	
L0BT^K/0Xq	hildë (hildi-); neuro	follower (n)	
gI*:-*YyG>	hyanda (Quantity and Number)	a throng; crowd (n)	
KC*]hX7DJ	hyasta-	to rustle (vb)	
kQStfx(fG~	íqua	when; whenever (conj)	
Q1<__:e=bT	ilqua; ilu	everything (n)	
"QT49&c-@#x"	melda; melin	beloved; dear (adj)	
x9np~5P_|E	men (Motion and Transportation)	place; spot [only in compounds]; way; *direction (n)	
jA1g@1|B]e	nendë	lake (n)	
sQt3Bc+>9|	ni; nyë	I; me (pron)	
IC(:19xWCN	nicu-; niqu-	to be chill; to cold; to freeze (of weather) (vb)	
qX()Xuh+-+	nútë; vérë	bond (n)	
G8K.=mPJHV	opo; pó	before; in front (of place) (prep)	
qA4WZwWkQW	orró-	sunrise; uprising (pref)	
"Q#%Iu$TIHs"	orwa; tára	high; lofty (adj)	
QlNdJF^,3Z	ro-	east; sunrise; uprising (pref)	
eR;)gMlsM8	taryalangova; taryalangwa	obstinate; stiff-necked (adj)	
wXZFX&GDGC	tumba; tumna	lowlying (adj)	
J/P3lGL^2S	tyav-	to (impersonal) to taste of; to reminds one of; to taste (vb)	
Ix&IxR_({_	vanya	beautiful; fair (adj)	
Lkk;u@QNMc	Quendë	Elf; (lit.) One That Speaks (n)	
"b75vq:#61R"	coirëa	living (adj)	
ro+PgPNBgf	findë	braid of hair; hair (especially of the head); tress; tress or plait of hair (n)	
m-OXDmO~((	lë (pron)	you (plural) (pron)	
"sM6Gt#IDLp"	më	us (exclusive); we (pron)	
vFz,$8bTxS	nolwë [ñ-]	(secret) lore; wisdom (n)	
E1g<9cNx2E	silmë	light of Silpion; silver [light]; starlight (n)	
izlEV5sx]N	tambë (tambi-) (Physical Acts and Materials)	bronze (n)	
NI1->AwT~=	tanwë	construction; craft; device; thing made (n)	
i|WVj&R;.X	tol (toll-); tollë	(steep) isle; island (n)	
m,2H*McYyV	tyë	thee; you (familiar) (pron)	
"uE#z|Z;M:b"	Ëa	Cosmos; Creation; all that is; the (Material) Universe; the World (n)	
AH$pOrXJ[a	ta (pron, Grammar)	it; that; there (pron)	
Iq(a~~iMNp	massë	a talent; capacity; handful; just portion (in distribution); measure or capacity (of a person); portion; share; the personal measure or capacity of a man (n)	
"sN&;bF;X#K"	enda	centre; heart; *interior (n)	
HE;{gX4<nB	lië	folk; people (n)	
kX+m!1vTj)	olca	bad; wicked (adj)	
Afl!OQAy=s	ailin	(large) lake; pool (n)	
bpB:c-ar9.	almo	shoulder (n)	
bK49sD~C}y	cala; calma	light (n)	
DkH.H<1~$T	coiva; coivenqua; nesya [þ]	lively (adj)	
i5q78VXltU	i (pron)	that (relative pronoun); what (relative pronoun); which; who (pron)	
zl,D]Jk=Mk	itsë; pí	fly (n)	
p,pRXC~Yo*	lanta-	to drop; to fall (vb)	
tH5osnLs%B	lindë	air; tune (n)	
O`I`*.@o@P	manë	good (moral, not evil) (adj)	
L;O86C?inL	míra	beautiful; lovely (adj)	
H697i_)|G$	peltas (peltax-)	a ‘pale’; fence of fixed stakes (n)	
dC0<;4z&VU	qualin; vanwa	dead (adj)	
m=[[FmiT$u	sistë (sisti-)	boil; sore; ulcer (n)	
CZwO<2SL%.	túrë	mastery; might; power; strength; victory (n)	
G&lAgxX@C$	vil-	to fly (vb)	
wXZ^ihA[I]	yondo; yonyo	son (n)	
"jzi9xV#Sqm"	AQu	to P.S.; to abbreviation of an quetta; to postscriptum (vb)	
"c_Z+C`F*j#"	ahta-	to narrow (tr. and intr.) (vb)	
Fltj3lk2%n	ahtassë	narrowing (n)	
A4}y:59]v+	almaicata-	to blunt; to make or become less sharp (vb)	
"v@#{[)@7-j"	alpa	bat [instrument not animal]; (lit.) beater (n)	
oN=oP+$vX=	andamba-	to smite (vb)	
AD1))/V75u	apárilë	afternoon (n)	
OxfBR&Jle?	armen-	to accompany (vb)	
Le1k$?)[B<	arëassë	nearness; proximity; vicinity (n)	
GV:w2b8Y-7	cemellet (cemellept-)	asparagus; (lit.) earth-finger (n)	
JXbrzv>0pY	ciryasta-	to sail [a ship]; to *make a ship go (vb)	
C(5c[]8T+-	comë (comi-)	group (n)	
I9M<uXH,j(	céta-	to offer; to propose; to suggest; (lit.) to make an opportunity (vb)	
kkf8eh78/)	enet-; enetya	extra; more than needed; spare (adj)	
nBBPg^,gO|	epta-	to offer; to place at somebody’s disposal; (lit.) to [make be in] front (vb)	
"%=3.|3~R#"	etsurya- [þ]	to go out; to *blow out (vb)	
h11bUd2=v:	for-	north; right-hand (pref)	
nHQCK/IafR	helcehtyar	narwhal; (lit.) ice-spearman (n)	
"H#Ygu(,Zxf"	hlimba	sled (n)	
"d&$X#*Lt=g"	hlimbon	sleigh (n)	
"k#m{C&PBu/"	hlondë	loud noise (n)	
HEZz$cs>!l	hu-	to bark; to bay (vb)	
"C#L)tT%tOL"	hwat-	to spill (vb)	
f5MUK|)s96	imbalatëa	conceited; (lit.) self-proud (adj)	
y>$sf}Q+lb	lacárima	impossible; not feasible (adj)	
lp66A-+&bU	lelelya-	to go on travelling; to keep travelling (vb)	
jfbhmY0P,?	lev-; rum-	to move (vb)	
IDhn>`Q$l?	limivarma	chainmail; (lit.) link-armour (n)	
BoGjSq}i`~	linca-	to ski (vb)	
"H#^|A.P;9V"	linca	ski (n)	
m1M9``TOu(	lirda	stanza; verse; (lit.) a product of singing (n)	
cf$$_ffkSU	loipat-	to misstep (vb)	
q]t)e5Q0x*	lopeta-	to amble (vb)	
H`Bu~~%zq1	maicahausta	truce; (lit.) blade-resting (n)	
I*?/WNe@5<	menda	about; approximately; circa; (orig.) towards the direction (adv)	
"s+Pk22#mOR"	minatulië	introduction; (lit.) into-leading (n)	
JPyj%?9uE*	mindata-	to isolate; (lit.) to make stand out (vb)	
twIdu?5=Z%	mínaitë	straightforward; (lit.) apt to have some end in view (adj)	
t[Ifef}P:2	narcarma	firearm; gun (n)	
H~Phh41d2(	nilya-	to befriend; to devote oneself to (vb)	
H5rE(Qp;_p	nucupta-	to force to bow; to humble (someone); to vanquish (vb)	
MExHVQ/c>L	nucuv-	to genuflect; to humble oneself; to pay homage; to submit (vb)	
KWf!?V3p2m	nyanda-	to gnaw (vb)	
Hmt$x}M0@i	nílanta-	to become devoted; to dedicated; to or strongly attached (vb)	
d1xFbrq03t	níla	devoted (adj)	
"y#dEhb~d:_"	núya-	to descend; to set (of the sun); to *come down (vb)	
hsqK`2,=]G	ofelmenca	indelicate; tactless; (lit.) without together-feeling (adj)	
pd3=BXZtMn	ortië	lifting up; raising (n)	
ztSs1-JmyS	ostampë	siege (n)	
wzm@%uj6=U	ostap-	to besiege; (lit.) to around-block (vb)	
f.JKBd`bfT	parda	bark (of a tree) (n)	
he<VCuRkZ^	pitsa	pizza (n)	
y4sfJ_yQMO	putil	brake (pedal); the element of a vehicle used to activate the braking mechanism (n)	
CN9lsqB+D~	rama	cause; legal case; (lit.) a matter on someone’s behalf (n)	
zb8.`RT*4(	ráya-	to dedicate; to devote; (lit.) to make something be on somebody’s behalf (vb)	
Ny|b.Axk@-	selmandur	fanatic; (lit.) servant of a fixed idea (n)	
hW|s(%=L&K	sunca [þ]	cone (of a tree, as in pine cone) (n)	
y*OPOl3BFB	talatya-	to refute; (lit.) to make (it) collapse (vb)	
Prq)wHi?:H	talhotsë	infantry; (lit.) foot-troop (n)	
tSZFkp>To3	talquen	foot-soldier; (lit.) foot-person (n)	
Q|PKWgM4@v	tarastar	highlands (n)	
C;LAw>(<a$	tellúmë	deadline; (lit.) finish-time (n)	
E`U4CunyvP	tihtë	glimpse (n)	
GhVFEModWr	tuntë	sense (one of the five) (n)	
H8xgD2a=qc	tírelëa	anxious (adj)	
p1K{,1e<~V	tírelë	anxiety; watchfulness (n)	
PeCuhc;5]2	tútyalië	sport; (lit.) strength play (n)	
M)GNk($c`Y	ulva	darkening; eclipse (n)	
Docn-=O6<I	umberóma	alarm; siren; (lit.) threat-trumpeting (n)	
y[ypFY|KwL	unta-	to descend [below a surface]; to stoop; to *sink (vb)	
"QIZ#s.&buP"	valasta-	to deserve; (lit.) to be worthy (vb)	
"r9(T$V@9#j"	vanwírë	nostalgia; (lit.) past-longing (n)	
CnRpP5W(`-	yaita-	to mock; to scorn (vb)	
by{n[5d?E<	(sir)ritwa [þ]	make-up; (lit.) substance for adding finishing touches (n)	
M?VSts]okh	ailindo	loon [bird]; (lit.) lake-singer (n)	
t(/dHSw`]t	aimë	surprise; thing/action that surprises (n)	
o]adjy!Bw%	alavéla	different; various [pl.] (adj)	
nI$&at6kjY	alaxë	salmon (n)	
D.rHU49],;	almopocco	backpack (n)	
H%k;?!/rZ%	amatengw(i)ë	supertitle(s) (n)	
hH.:JEZ}G,	andatya-	to drop swiftly; to plummet (vb)	
d[~Gp,-tKE	andormen	landing pad; landing strip (n)	
OL|N/Yj?v0	camaitë (camaiti-)	fitting; suitable (adj)	
hsy^2)x+vP	celumar	[German] urheimat; origin (esp. of people/languages); (lit.) source-home (n)	
Py5cD[pBBM	ciryahto	shipwright; *[subordinate] ship-crafter (n)	
jL&hk]NO(R	ciryassëa	on-board; what is on board ship; *ship-board (adj)	
JUeS_-Es?K	cáralannë	bandana; kerchief; (lit.) head-cloth (n)	
d}ad:;Kro~	elenta-	to impress; (lit.) to make marvel (vb)	
