(a)larca|rapid; swift (adj)
urustan (urustam-)|copper-smith (n)
urusta|of copper (adj)
urwa|afire; on fire (adj)
urya- (Physical World)|to blaze; to burn (intr.) (vb)
urya- (Sense Perception)|to be hot (vb)
urúva|like fire (adj)
us- [þ] (pref)|[wrong] with a bad sense; bad; improper; unsuitable; useless; wrong (pref)
us- [þ]; usu- (vb)|to escape; to get out (vb)
uscil(lë)|cigarette (n)
usquë|*smoke; dusk; reek; twilight (n)
ussar (ussard-)|sulphur; (lit.) fire-stone (n)
ustat-|to misappropriate; to supplant; to usurp (vb)
ustya-|to smoke (intr.) (vb)
uswë; uswë [þ]|escape; issue; outlet (n)
uv-|*to be going to (vb)
uvassë|future tense; (lit.) uva-ness (n)
uxarë|*misdeed; doing wrong (n)
va; vë; ó|with (prep)
va; ô|from (prep)
vacco|coat; jacket (n)
vahai(y)a; vaháya|far away (adv)
vahta-|to soil; to stain (vb)
vai(y)a|envelope (n)
vailima|windy (adj)
vailë|*gale; [strong] wind (n)
vaimata-|to *clothe; to get dressed; to put on clothing; to robe (vb)
vaima|robe; wrap (n)
vaina (Body Parts and Functions)|blonde; fair of hair (adj)
vaina (Clothing and Adornment)|clad (adj)
vainolë|quiver (n)
vainë (vaino-)|pod; sheath (n)
vaita-|to enfold; to wrap (vb)
vaiwë; vaiya|seamew (n)
vala-|to have [divine] power (vb)
valaina|of or belonging to the Valar (adj)
valassë|divinity (n)
valatëa|proud (adj)
valatë|pride (n)
valcane|vague (adj)
valca|*vague; ferocious; fierce (adj)
valda (adj)|dear; worth; worthy (adj)
valda (adj, Emotion)|excited; wild (adj)
valda (n adj)|dear; worth; worthy (n adj)
valda-|*to cost; to be of significance; to matter; to moment; to worth (vb)
valdima|essential; imperative (adj)
valdëa|important; of moment (adj)
valiemba|tropical (adj)
valmandui|heaven and hell (n)
valma|[divinely or righteously] powerful; powerful (adj)
valmë (Social Relations)|authority (n)
valmë|emotion; excitement (n)
valta-|to excite; to rouse; to stir up (vb)
valwistë|change of mind (n)
valya-|to be excited (moved) (vb)
valya|*authorized; having (divine) authority or power; official (adj)
vana|fair-haired (yellow to golden) (adj)
vanda|oath; pledge; solemn promise (n)
vanessë; vanië|beauty (n)
vanga|staff (n)
vangwë|*gale; storm (n)
vanima (adj)|*handsome; as it should be; proper; right (adj)
vanima (n)|beautiful one; fair one (n)
vanima; vanya; vanë (vani-)|fair (adj)
vanimelda|beautiful and beloved; elven-fair (adj)
vanita-|to beautify; to grow/become fair; to make fair/beautiful (vb)
vanta (adj)|?beautiful (adj)
vanta (n)|*hike; march; walk (n)
vanta-|to *trudge; to trek (vb)
vanwalussë|past tense (n)
vanwa|dead; departed; gone (for good); lost; no longer to be had; on the road; over; passed away; past; vanished (adj)
vanwiémar (vanwiemard-)|museum; (lit.) hall of the past (n)
vanwië|past time; the past (n)
vanwë; vá (n)|wind (n)
vanwë|loss (abstract/general) (n)
vanya-|to depart; to go (vb)
vanya|good (not evil); holy (adj)
vaqua-|to vanquish (vb)
vaquasta|a victory (n)
vaqui(e)|victory (n)
var- (Warfare and Hunting)|to give way; to surrender; to yield (vb)
var-|to err (vb)
varanda|sublime (adj)
varasta-|to loom; to tower up (vb)
vardarianna|fragrant evergreen tree (n)
varma|armor; armour (n)
varnassë|security (n)
varna|protected; safe; secure (adj)
varne (adj)|?brown (adj)
varne (n)|estrangement; strangeness (n)
varno|guard; protector (n)
varnë (varni-)|brown; dark brown; russet; swart (adj)
varta-|to betray (vb)
vartië|betrayal (n)
varto|betrayer (n)
vartyo|servant; slave (n)
varya-|to protect (vb)
varyalë|defense (n)
varyando|protector (n)
varya|different (adj)
var|*from; away to (adv)
varúsë|*in other manner [than] (adv)
vasar [þ]|veil (n)
vasarya- [þ]|to veil (vb)
vasca|making a plash or rush (adj)
vassalë|rustling (n)
vassivaswë|beating or rushing of wings (n)
vassë (wassi-)|wing (n)
vata|beaten track; pathway (n)
vatta-|to trample (vb)
vaxë|stain (n)
va|(away) from; away; gone forth (prep)
ve (prep)|after the manner [of]; as; like; similar (prep)
ve; vi (pron)|us (inclusive) (pron)
vehtequentalë|biography (n)
vehtë|[a span of] life; habitat; haunt (n)
vel-|to boil; to bubble (vb)
velet|tumor (n)
velixë|greatly (adv)
velmë|spring (n)
velu-|to unfurl (vb)
velupantië|revelation (n)
velva|boiling; bubbling (adj)
velvë|bubble (n)
velyávë|Cucurbitaceae; gourd; the gourd family (n)
vembë|worm (n)
vena; venin|womanl[y] (adj)
vendelis (vendeliss-)|nun (n)
vendelë|maidenhood (n)
vendesta|convent (n)
venessë|virginity (n)
venta|chin (n)
ventë|brook; small river (n)
venwa|lime (fruit) (n)
venwë|shape (n)
venya (adj)|fresh; yellow-green (adj)
venya (pron)|ours (inclusive) (pron)
venë|[eating] vessel; dish; small boat; vessel (n)
vequi|as if; as though (conj)
verca|wild (adj)
vercála|sudden; violent (adj)
veri; vessë|wife (n)
verin (verind-)|married (adj)
verinu|married pair (collective-noun)
verië|*daring; boldness (n)
verrendo|brother in law; kinsman by marriage (n)
verressë|kinswoman by marriage; sister in law (n)
verulóra|widow; widowed (adj n)
veru|husband (n)
verya-|to dare (vb)
veryandë|adventure; undertaking (n)
veryanwë; vestalë|wedding (n)
verya|*brave; bold (adj)
vesquen|spouse (gender neutral) (n)
vesta- (Law and Judgment)|to contract; to make a compact; to swear (to do something) (vb)
vesta- (Mankind)|to (refl.) to get married; to join others in marriage; to marry (vb)
vestale|oath (n)
vestanoina|related by marriage (adj)
vestaquin|?bride (n)
vestaracië|adultery; (lit.) marriage-breaking (n)
vesta|matrimony; state of marriage (n)
vetta-|to witness (vb)
vetto|witness (n)
vettëa|witnessing (adj)
vettë|(act of) witnessing (n)
veuma|server (n)
veuya-|to serve (vb)
veuyalë|service (n)
vielóra|eunuch (n)
vihta|*folk (n)
vil-; vili-|to float; to fly (vb)
vilina|airy; breezy; light [weight?] (adj)
vilindëa|as a bird (adj)
vilva; vilwa|fluttering to and fro (adj)
vilvarin (vilvarind-); vilwarin (wilwarind-)|butterfly (n)
vilvarindëa; vilwarindëa|like a butterfly (adj)
vilwa|lower air (n)
vilwis(të)|weather; (lit.) turn of air (n)
vilya|(lower) air (n)
vin(i)-|neo- (pref)
vinca|nook (n)
ving(a)|spray (n)
vingil (vingild-)|foam-maid; mermaid; nymph (n)
vingil (wingild-) (Religion and Beliefs)|(sea) nymph; (lit.) foam-maiden (n)
vingil (wingild-)|*nymph; foam-maid; mermaid (n)
vingë|(blowing) foam; crest; crest of wave; froth; scud; spindrift; spray; wave; wave crest (n)
vinima|childish (adj)
vinimetta|*reaching middle age; end of youth (n)
vinimo; vinë (wini-)|little-one (n)
vinquetta|neologism (n)
vinta-|to blow about; to scatter (vb)
vinyahan (vinyahán-)|younger brother (n)
vinyamo|youngster (n)
vinyanet (vinyanés-) [þ]|younger sister (n)
vinyanóna|new-born (adj)
vinyarë|*young adulthood (n)
vinya|new (adj)
vin|already; just; just now; only just (adv)
vircolca|basket; (lit.) woven-box (n)
virda|outcome; result (n)
virittë|gravel (n)
virya-|to alternate (vb)
virya|fresh (adj)
virítë|variable; various (adj)
vista-|to change (transitive) (vb)
vista|air as substance (n)
vistë|change (n)
vië (Body Parts and Functions)|*penis; teors (n)
vië (Mankind)|*penis; manhood; teors (n)
vië; vëassë|vigour (n)
voinë|desire (n)
volta|volt (n)
voltië|voltage (n)
vor(o)-|continual repetition (pref)
vor(o)|always (adv)
vor-|to endure; to survive (vb)
vorima|everlasting (adj)
vorimyalë|monotony (n)
voronda|faithful; steadfast (in allegiance, in keeping oath or promise) (adj)
vorongandelë|continual repetition; (lit.) harping on one tune (n)
voronwa|enduring; long-lasting (adj)
voronwië|lasting quality (n)
voronwë|faith(fulness); loyalty; steadfastness (n)
vorosanya [þ]|*ever-law-abiding (adj)
vorotailë|procrastination; (lit.) ever-extension (n)
vorotaita-|to procrastinate; (lit.) to ever-prolong (vb)
voro|always; continually (adv)
vorta-|to make lasting; to preserve (vb)
vortalë|maintenance; preservation (n)
voruhta-|to shun; (lit.) to ever-avoid (vb)
voruva|age long (adj)
vá (adv adj)|away; gone forth (adv adj)
vá (interj adv)|do not; shall not; will not (interj adv)
válë|divine power/authority (n)
ván|goose (n)
váquet-|to forbid; to prohibit; to refuse; to say ‘I will not or do not’; (lit.) to say no (vb)
váravalmë|scandal (n)
vára|dirty; soiled (adj)
váya-|to blow (vb)
váya|[stormy] sea (n)
véla|*alike; having a likeness or similarity (adj)
vén|freshness (n)
vénëa|*virginal (adj)
vénë|*virgin; girl (n)
vératanna|signature; (lit.) personal token (n)
véra|own; personal; private (adj)
vérë|compact; oath; troth (n)
véta-|to compare; to liken (vb)
vétaima|comparable (adj)
vëa (Mind and Thought)|apparent; seeming (adj)
vëa (Spatial Relations)|like; similar (adj)
vëa (Time)|adult; vigorous (adj)
vëacirya|sea-ship (n)
vëalta-|to resemble (vb)
vëaner|(adult) man (n)
vëasta|comparison; resemblance (n)
vëo (Animals)|*living being; living creature (n)
vëo (Mankind)|man (n)
vë|as; like (prep)
vílë|gentle breeze (n)
vínë|*childhood (n)
vírina|woven (adj)
vírin|glass substance [used to make the Moon] (n)
vórima (Emotion)|*(lit.) able to endure; continuous; enduring; faithful; repeated (adj)
vórima (Time)|continuous; enduring; repeated (adj)
vórina|of fur (adj)
vóriva|like fur (adj)
vórë (vóri-)|fur (n)
vórëa|continuant; continuous; enduring; lasting (adj n)
vórë|lasting (n)
xara-|to long for; to yearn (vb)
xiétë (xiéti-)|impermanent; passing (adj)
yac-|to offer; to sacrifice (vb)
yacië|[act of] sacrificing; offering (n)
yaima-|to possess (vb)
yaimëa|wailing (adj)
yaimë|wailing (n)
yaiwë|mocking; scorn (n)
yaiya-|to cry grievously; to cry in pain; to wail (vb)
yal-|to *call (out to) (vb)
yallumë|at last (adv)
yallë|as; in the same way as; like (adv)
yalta|yoke (n)
yalúmëa; yárëa|olden (adj)
yalúmë|former times (n)
yana|that (the former) (pron)
yanca|sacrifice (n)
yanen|whereby (adv)
yangwa|altar (n)
yanna|whereto (adv)
yanta- (Quantity and Number)|to add to; to augment; to enlarge; to increase (vb)
yanta- (Spatial Relations)|to join (vb)
yanta; yanwë|bridge (n)
yantaina|joined (adj)
yantya-|to add to; to augment (vb)
yanwë (Spatial Relations)|isthmus; joining (n)
yarië|antiquity (n)
yarra-|to growl; to snarl (vb)
yarra|snarl; ️growl (n)
yaru|blight; gloom (n)
yassë|there [relative] (adv)
yatta|(narrow) neck; *(lit.) joining; isthmus (n)
yat|isthmus; neck (n)
yausta|crop (n)
yav-|to *yield; to bear (fruit); to bring forth; to produce (vb)
yava- (Agriculture and Vegetation)|to bear fruit (vb)
yava- (Possession and Trade)|to hold (vb)
yavannamírë|Jewel of Yavanna (n)
yava|of which (adj)
yaxë|cow (n)
ya|relative pronoun; that (relative pronoun); which (pron)
yeldë|daughter (n)
yello|call; cry of triumph (n)
yelme|loathing (n)
yelta-|to abhor; to loathe (vb)
yelwa|loathsome (adj)
yendina|yesterday’s (adj)
yendo|gaze; glance (n)
yenya|last year (n)
yeremba|like iron (adj)
yermë|sexual desire (for marriage and procreation) (n)
yerna|worn (adj)
yerya-|to get old; to wear (out) (vb)
yesta- (Emotion)|to desire (vb)
yesta- (Time)|to *start; to begin (vb)
yestanyatsë|prefixion (n)
yesta|*start; beginning (n)
yestië|beginning (n)
yo-|together (used in words describing the union of three or more things) (pref)
yol-|to smoulder (vb)
yola|neither; nor (adv)
yomencöa|synagogue; (lit.) meeting-house (n)
yomenië|*congress; gathering; meeting (n)
yonda; yonna|enclosed (adj)
yondo|(great) grandson; male descendant (n)
yondë|any fairly extensive region with well-marked natural bounds (n)
yonwa|border (n)
yonyo|(big) boy (n)
yonávë|*companionship; camaraderie; company (n)
yor-|*to include; to enclose; to set bounds to/about (vb)
yosanwë|(pl.) congruence (n)
yo|both ... and (conj)
yu-|both; twice (pref)
yualë; yúyal|twilight (n)
yucainellumë|*twenty times (adv)
yucainento; yucainentya|one twentieth (fraction)
yucainenya|twentieth (ordinal)
yuhta-|to employ; to use (vb)
yuhtaimalë|usefulness (n)
yuhtaina|used (adj)
yuitë|dual (adj)
yulda (adj)|drunk (adj)
yulda (n)|draught; drink; thing drunk (n)
yullas (yullass-)|tea (n)
yullumë; yú (Quantity and Number)|twice (adv)
yullumë|two times (adv)
yulma|cup; drinking implement; drinking vessel (n)
yulmon|chalice (n)
yulmo|drinker (n)
yulmë|carousal; drinking (n)
yuluitë (yuluiti-)|*aquatic; drinking (as a habit) (adj)
yulunefítë|*(lit.) drinking-breathing; amphibious (adj)
yundóra|two million (cardinal)
yundórë|billion (cardinal)
yungwa|appliance (n)
yunquecainen; yuquain tuxa|one hundred twenty (cardinal)
yunquenta; yunquentë|thirteen (cardinal)
yunquesta|*one twelfth (fraction)
yunquetya; yunquëa|twelfth (ordinal)
yunquë|twelve (cardinal)
yuquain|twenty (cardinal)
yurasta|twenty four (cardinal)
yutuxa; yúyo tuxa|two hundred (cardinal)
yutya-|to lend; to loan (vb)
yácina|sacrificed (adj)
yána|huge; vast; wide (adj)
yárahan (yárahán-)|older brother (n)
yáranet (yáranés-) [þ]|older sister (n)
yáraquetta|archaic word; archaism (n)
yára|ancient; belonging to or descending from former times (adj)
yárë|former days (n)
yáva|*fruit (n)
yávelóra|fruitless (adj)
yávinqua|fruitful (adj)
yáviérë|*autumn-day (n)
yávië|autumn; harvest [time or act] (n)
yávë|fruit (n)
yáwë|cleft; gully; ravine (n)
yá|when (conj)
yénië|annals (n)
yén|Elvish long year (144 solar years); year (n)
yé|lo!; what a ...; what is more (interj)
yëa|what is more (interj)
yë|who (pron)
yó(m)|[together] with (prep)
yú (Spatial Relations)|*also (adv)
yú-|both (pref)
yúla|ember; smouldering wood (n)
yúlima|drinkable (adj)
yúyo húmi|two thousand (cardinal)
yúyo yucainen|twenty two (cardinal)
Ëarenya|*Thursday; Sea-day (n)
Ëa|Cosmos; Creation; all that is; it is; let it be; the (Material) Universe; the World; †World (n)
Úrimë|*Hot-one; August (n)
á (interj)|Oh! (interj)
á (particle)|imperative particle (particle)
ála|do not (particle)
ána|crown of head; top (n)
árë (ári-)|sunlight; warmth (especially of the sun) (n)
árë nuquerna|árë-reversed (n)
ásë [þ]|aid; benefit (n)
áva|don’t; negative imperative (particle)
áya|awe (n)
élicombë|collection of stars; galaxy (n)
élë|beam; flashing of [?starry] light; star-ray (n)
érë|existence; existing (n)
é|indeed (interj)
ëa-|to be; to be found extant in the real world; to exist; to have being (vb)
ëarel|starfish; (lit.) sea-star (n)
ëaren; ëaron|great sea (n)
ëarendur|(professional) mariner; *(lit.) servant of the sea (n)
ëarina|of the sea (adj)
ëarra (ëarráv-)|sea lion; seal (n)
ëarsil|pearl; (lit.) sea-sheen (n)
ëaruilë|seaweed (n)
ëar|(open) sea; great sea; water (n)
ëasta|being; existence (n)
ëo|person; somebody (unnamed) (pron)
ë|he; she (pron)
í-|a prefix for electronic things like e-book; e- (pref)
íquallumë|when; whenever (adv)
írima|desirable; lovely (adj)
írë|desire; longing (n)
ítacelmëa|electrical (n)
ítacelmë|electricity (n)
ítacelmítë|electronic (n)
íta|flash (n)
ócama-; órava-|*to have mercy (vb)
ócom-|to assemble; to gather (vb)
óla-|to dream (impersonal) (vb)
ólamaitë|consonantal (adj)
ólav-|to compromise (vb)
ólavië|compromise (n)
ólemë|elbow (n)
ólië|society; (lit.) together-people (n)
óma-tengwë; ómatehta|vowel-sign (n)
ómaitë|voiced [stop] (n)
óman (omand-)|vowel (n)
ómanda|vocalic (adj)
ómatailë|vowel lengthening; vowel-lengthening (n)
ómataima; ómataina|vocalic extension (n)
óma|resonance of the vocal chords; voice; vowel (n)
ómen|crossroads (n)
ómu|*although (adv)
ómëa (adj)|voiced (adj)
ómëa (n adj)|voiced; vowel (n adj)
ópa|mouth (opening of which the lips are the edges) (n)
óricuva|traitor (n)
óricuvoitë|keeping one’s own counsel (not necessarily sinister); uncommunicative (adj)
óripanta|honest; open; sincere; (lit.) open-hearted (adj)
órë (Mind and Thought)|(pre)monition; *conscience; caution; heart (inner mind); warning (n)
órë (Motion and Transportation)|*rise; rising (n)
órë (Time)|East; Sunrise; dawn (n)
ósana-|to counsel; to think together (vb)
ósanwë|communication of thought; interchange of thought; (lit.) thinking together (dual) (n)
ósat-|to share (vb)
óta-|to shout (vb)
öalúmë|shearing time (n)
öamo|owner (n)
öapsar-|to wipe away (vb)
öar|away from (adv)
öatarië|apostasy; (lit.) away-standing (n)
öa|away (of movement) (adv)
ú (particle)|not (particle)
ú (prep adv)|destitute of; without (prep adv)
ú pusto|at once; immediately; (lit.) without pause (adv)
ú-|bad; difficult; hard; hardly; in-; no; not; un-; uneasy; with difficulty; ‘badly’ (pref)
úcalima|*not bright; dim; murky (adj)
úcar-|*to trespass; to do wrong; to sin (vb)
úcarindo|*sinner (n)
úcarindë|sinner (f.) (n)
úcarnë|not red (adj)
úcarunqua|sinful (adj)
úcarë|*sin; debt; trespass (n)
úcim-|to disregard (vb)
úcárima|*undoable; unmakeable (adj)
úfailië|unrighteousness (n)
úfantima; úfantuma|not concealable (adj)
úfanwëa|not veiled; unveiled (adj)
úhandë|incomprehension; unreason (n)
úlaita-|to dishonour (vb)
úlaitima|disgraceful; dishonourable (adj)
úlanwa|infinite; infinity (n adj)
úlumë|at all times (in a series or period) (adv)
úlévima|paralyzed (adj)
úlëa|flooding; flowing; pouring (adj)
úma-|to teem (vb)
úmahta(le)|nuisance (n)
úmaitë|clumsy(-handed); unskilled (adj)
úmara|evil; ill-used; sinister (adj)
úmárë|not good = evil (n)
úmëa (Quantity and Number)|abundant; swarming; teeming (adj)
úmëa (Spatial Relations)|large (adj)
úmë|abundance; great collection or crowd of things of the same sort (n)
únat|thing impossible to be or to be done (n)
úna|deprived of; destitute; forlorn (adj)
únehta|*atom (n)
únut-|to untie (vb)
únyárima|impossible to recount (adj)
únótima|countless; difficult/impossible to count; numberless (adj)
úpahtëa|speechless (adj)
úpartalë|*disorder; unorder (n)
úpa|dumb [unable to speak] (adj)
úperima|indivisible (adj)
úpoica|unclean (adj)
úquétima|impossible to say or put into words; unpronounceable; unspeakable (adj)
úr; úrë|heat (n)
úra (Emotion)|nasty (adj)
úra (Sense Perception)|sultry; torrid; unpleasantly hot (adj)
úrin|(blazing) hot (adj)
úro|*evil; nastiness (n)
úruva|fiery; like fire (adj)
úr|fire (n)
úsahtando [þ]|tempter (n)
úsahtië [þ]|*temptation; inducement to do wrong (n)
úsiéra|*escaped (adj)
úsië|on the contrary (conj)
útancië|uncertainty (n)
útulma|accident; (lit.) bad-event (n)
